"Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"CST<WT","CC","GO:0097060","synaptic membrane","20/129","471/14212",8.56396185028342e-09,2.32083366142681e-06,1.8299834269553e-06,"Atp2b4/Cacna1e/Chrna4/Grik3/Met/Cntnap2/Grin2b/Prkcg/Shisa7/Ntrk3/Grm5/Gsg1l/Glra3/Psd3/Arhgap32/Ank3/Syt1/Chrm3/Htr1a/Faim2",20
"WT<CST","CC","GO:0062023","collagen-containing extracellular matrix","15/134","266/14212",3.05669267842437e-08,7.06096008716029e-06,6.72472389253361e-06,"Col9a3/Ecm1/Col27a1/Vwa1/Serpine1/Ache/Ptn/Anxa4/Adamts8/Serpinf1/Papln/Colq/Col11a2/Kazald1/Srpx2",15
"CST<WT","CC","GO:0045211","postsynaptic membrane","15/129","345/14212",5.40113921532387e-07,7.31854363676385e-05,5.77069084584603e-05,"Cacna1e/Chrna4/Grik3/Met/Grin2b/Shisa7/Ntrk3/Grm5/Gsg1l/Glra3/Psd3/Arhgap32/Ank3/Chrm3/Faim2",15
"CST<WT","CC","GO:0099572","postsynaptic specialization","16/129","412/14212",9.91358651856179e-07,8.95527315510081e-05,7.06125636234401e-05,"Hnrnpa3/Chrna4/Pclo/Met/Grin2b/Prkcg/Shisa7/Grm5/Gsg1l/Adgra1/Glra3/Arhgap32/Tanc2/Chrm3/Pcbp2/Mapk1",16
"WT<CST","CC","GO:0031012","extracellular matrix","15/134","367/14212",1.91221211491052e-06,0.000220860499272165,0.000210343332640157,"Col9a3/Ecm1/Col27a1/Vwa1/Serpine1/Ache/Ptn/Anxa4/Adamts8/Serpinf1/Papln/Colq/Col11a2/Kazald1/Srpx2",15
"CST<WT","CC","GO:0099699","integral component of synaptic membrane","11/129","209/14212",3.12494866580594e-06,0.000211715272108352,0.000166938047147001,"Atp2b4/Cacna1e/Chrna4/Grin2b/Shisa7/Ntrk3/Grm5/Gsg1l/Glra3/Chrm3/Htr1a",11
"WT<CST","BP","GO:0001525","angiogenesis","16/131","436/13966",3.18312517747843e-06,0.0062421084730352,0.00586030098464187,"Scg2/Creb3l1/Ecm1/Ddah1/Serpine1/Ptn/Gpx1/Ramp3/Serpinf1/Tmem100/Sphk1/Plau/Apln/Tnmd/Srpx2/Nox1",16
"CST<WT","BP","GO:0050808","synapse organization","15/127","402/13966",3.67011269084326e-06,0.00591471211058119,0.0050449053067901,"Adgrb3/Cacnb2/Pclo/Epha5/Sez6l/Grin2b/Shisa7/Igf1r/Ntrk3/Grm5/Glra3/Wasf1/Ank3/Sez6/Htr1a",15
"CST<WT","CC","GO:0098984","neuron to neuron synapse","15/129","406/14212",4.08379850170223e-06,0.000221341878792261,0.000174528651756958,"Hnrnpa3/Pclo/Met/Grin2b/Prkcg/Shisa7/Grm5/Gsg1l/Adgra1/Arhgap32/Syt1/Tanc2/Chrm3/Pcbp2/Mapk1",15
"CST<WT","MF","GO:0030594","neurotransmitter receptor activity","7/123","78/13889",5.64801819981413e-06,0.00200504646093402,0.0017300771538378,"Chrna4/Grik3/Grin2b/Grm5/Glra3/Chrm3/Htr1a",7
